A,B,Y
9.722,1.62168,-0.94002
5.4455,8.97183,0.96101
5.20908,4.80332,-0.55438
1.90663,0.999,0.23378
1.48349,7.1789,0.69065
2.70335,2.67664,-0.78531
9.00243,0.93362,-0.48928
0.14373,4.21291,-0.93738
3.57174,2.2129,-0.47815
7.21606,2.93865,-0.66682
8.16948,7.8968,-0.3507
1.357,5.25664,0.32448
1.70474,5.41075,0.73949
3.61637,8.92375,-0.02626
5.82725,7.73661,0.84011
5.85567,3.72911,-0.15932
9.62843,2.42976,-0.48658
9.54201,3.15101,0.12631
0.1317,0.74191,0.76665
0.48089,4.18725,-0.99902
1.85867,9.84554,-0.75925
9.95231,9.55935,0.61478
0.98765,3.94763,-0.97526
4.68889,4.34919,0.37713
4.09026,1.13444,-0.87161
1.45734,5.42036,0.56011
7.61364,5.93759,0.8332
4.00473,3.33365,0.87
3.49981,4.64489,0.95804
0.3959,9.86705,-0.74342
2.94808,5.50951,0.82329
6.597,9.19736,-0.08629
4.38539,1.55063,-0.34023
1.21425,9.23116,-0.85244
0.09736,5.95661,-0.22722
8.11272,4.54664,0.09286
7.75269,9.19526,-0.94578
4.48256,3.89642,0.86532
8.58091,8.9271,-0.97384
5.37782,9.36838,0.8202
7.4613,3.47208,-0.99807
6.42135,0.6028,0.675
0.40726,8.89528,0.12193
4.44642,6.34688,-0.97961
0.35624,4.27018,-0.99631
6.81907,2.07872,0.50293
4.82274,0.60548,-0.75454
9.41914,6.41542,-0.12625
6.81155,2.57071,0.04251
2.21348,4.19226,0.12225
2.92716,5.46718,0.85752
6.14818,7.67042,0.94969
8.10855,3.65646,-0.7183
6.92583,9.141,-0.35122
8.4433,8.07429,-0.72403
6.55026,3.74279,-0.76321
6.02842,9.53938,0.13971
9.42668,0.27992,-0.27811
3.74894,4.74155,0.80418
0.29607,8.84138,0.28339
2.74292,9.78557,-0.03788
6.753,5.35701,-0.44068
7.09278,7.82386,0.71129
8.71126,0.05895,0.60881
2.99997,0.91176,-0.69624
4.03644,8.84256,0.30756
8.4465,5.86155,0.98543
0.01756,0.70218,0.65919
8.0741,0.85945,0.47171
9.04338,8.05927,-0.98453
0.42677,8.78068,0.21562
5.68195,0.38701,-0.21259
8.0542,1.53958,-0.16819
2.76321,6.05421,0.5707
5.02365,5.0471,-0.60197
1.25388,7.67676,0.47427
6.91686,1.67666,0.73878
6.51278,6.52553,0.45462
6.02122,9.64121,0.04552
7.78999,2.79979,-0.91879
0.14075,6.92147,0.7026
8.04069,4.7753,0.24704
9.24665,1.33867,-0.91702
7.16922,7.9397,0.56385
8.47158,8.62358,-0.98319
9.48224,9.01511,-0.34496
7.75939,1.56914,0.09609
6.90984,6.03207,0.36677
4.26223,0.37784,-0.99739
7.54423,3.39901,-0.99863
1.26104,2.32621,-0.43105
8.60733,9.3057,-0.8055
9.18316,4.11068,0.66498
4.87737,3.3356,0.93625
9.27537,1.47681,-0.97053
6.23449,5.1868,-0.91074
7.38002,5.17702,-0.00933
2.81609,0.61941,-0.28969
8.84239,4.92323,0.93177
7.26782,8.1768,0.26031
2.02191,2.27122,-0.91339
8.20905,3.95879,-0.38806
3.71621,8.86976,0.0196
6.11377,8.45506,0.90827
2.52045,4.81263,0.86737
1.2849,0.10066,0.98289
8.0219,5.4977,0.81529
0.73557,4.4237,-0.9018
9.68899,0.30095,-0.53556
1.41364,8.72772,-0.65681
2.68246,4.52947,0.80087
0.87688,4.64699,-0.68842
9.99672,7.34918,-0.99775
1.60928,1.65012,-0.11754
0.95499,5.85781,0.5052
9.30445,8.9989,-0.51945
1.98843,3.42203,-0.76609
2.4879,8.78163,-0.96271
6.40036,4.56136,-0.99943
5.67701,4.99876,-0.9493
5.73655,9.84126,0.12979
3.72223,2.93951,0.36958
7.87032,8.57043,-0.66894
2.2741,6.90301,0.24514
1.51466,3.48544,-0.9589
9.2856,2.80386,-0.45904
2.19514,8.02026,-0.7108
9.39788,9.97927,0.50345
4.50557,8.05554,-0.00525
7.7751,0.17961,0.99493
0.14426,7.78266,0.99734
0.86434,5.42796,0.00912
7.88011,3.03502,-0.99677
9.56282,3.48331,0.46157
3.37992,3.09405,0.18963
7.02048,8.77289,-0.0853
5.8553,4.24139,-0.62248
7.7987,8.03867,-0.12905
0.30347,2.52744,0.3057
8.6242,2.45806,-0.99625
5.8318,6.19604,-0.51287
4.34652,0.7271,-0.93546
8.29152,7.67219,-0.25297
0.21773,5.94906,-0.11613
3.88747,8.78656,0.10745
2.74554,2.73651,-0.71814
7.42258,9.94823,-0.99577
1.0748,2.65919,-0.55835
8.98804,8.23925,-0.99868
0.76429,4.70635,-0.72604
6.16838,6.22344,-0.17367
5.79657,3.11916,0.48735
9.01284,9.65534,-0.18039
7.40471,0.57432,0.99219
4.09371,1.44407,-0.67827
2.40114,5.82603,0.93117
5.2758,9.44228,0.83597
6.26908,3.95706,-0.71831
5.86689,8.59308,0.94835
5.29155,3.59483,0.51276
6.94817,1.63036,0.7488
8.76505,7.83341,-0.77738
3.27912,2.81982,-0.1832
9.90567,9.2283,0.28059
2.21808,3.67489,-0.38039
3.75191,6.25732,-0.55174
8.45568,1.08512,-0.11577
6.43736,1.46369,0.99889
2.41312,2.93266,-0.80602
3.35052,2.2496,-0.63117
3.17636,5.3175,0.80217
5.0029,0.78253,-0.47746
7.77331,1.94381,-0.2882
8.46427,2.58136,-0.99875
9.12402,2.63783,-0.72049
1.42798,0.61003,0.89283
3.77114,3.80015,0.96031
1.82911,7.6088,-0.01313
5.64309,7.8695,0.81121
2.30031,3.96349,-0.01938
8.57618,3.05672,-0.80369
2.37778,8.40349,-0.97712
1.33944,1.35488,0.43251
5.60472,2.35282,0.99464
2.06796,2.07419,-0.84177
5.6971,3.41293,0.30957
2.36678,5.66355,0.98449
7.93773,0.13858,0.97539
9.49247,9.73493,0.36892
5.38587,9.45996,0.75924
3.95112,5.80548,-0.32576
9.44911,2.15799,-0.81877
4.23549,0.69918,-0.9754
3.09556,5.55604,0.69842
0.93685,1.43992,0.69241
5.57347,8.06416,0.8778
2.72401,9.66748,-0.17399
5.46483,4.06054,-0.10043
6.09261,4.90282,-1.0
7.35389,0.88589,0.9265
2.63872,5.06183,0.98825
0.22979,3.15016,-0.2361
7.5545,2.79608,-0.79911
2.30854,2.64435,-0.97122
2.22883,6.97676,0.21744
1.4792,4.22189,-0.54978
8.70553,7.20488,-0.20107
0.09658,0.4524,0.52181
1.79443,1.63474,-0.28363
3.82016,7.02019,-0.98798
3.71448,0.88897,-0.99407
8.53378,6.6367,0.51198
9.54021,2.41627,-0.57278
6.97857,1.04623,0.98545
2.27906,4.45045,0.43165
1.77033,1.71934,-0.34109
6.21941,8.28211,0.93435
6.73723,8.2486,0.66098
6.81482,0.13475,0.61815
3.56325,3.0366,0.3114
9.5617,2.23501,-0.69589
2.30154,2.46482,-0.99854
5.09637,8.67444,0.93364
9.91345,5.5661,0.22643
2.83533,9.7803,0.04925
6.18594,0.37847,0.27754
4.16373,9.70869,0.96516
9.64714,2.57437,-0.33807
0.90199,9.25494,-0.66847
1.63636,3.65435,-0.83738
7.1286,9.98444,-0.9863
1.97845,9.18934,-0.98521
9.05549,7.28529,-0.59142
6.53329,2.40177,0.47038
1.41449,2.14005,-0.4013
9.01003,2.12674,-0.99005
5.13785,1.17516,0.02982
9.63174,3.62954,0.64032
5.20766,4.01385,0.20187
1.84473,0.4925,0.72039
2.6072,4.86022,0.92621
2.04937,8.20623,-0.73848
1.23593,1.89937,0.0063
8.70083,1.10071,-0.36791
0.89578,8.75162,-0.22079
6.97268,5.5346,-0.05906
3.99504,6.8807,-0.99283
9.42782,2.95204,-0.18544
1.44232,3.6972,-0.91016
3.0734,5.64881,0.64618
8.67601,3.58885,-0.29696
6.13027,4.14131,-0.74917
4.52967,6.42286,-0.99907
6.53551,1.46585,0.98916
6.00838,8.03713,0.9958
6.50407,4.2101,-0.96067
5.80673,5.21322,-0.9997
8.21718,0.67388,0.50873
5.85386,5.23215,-0.99591
6.70413,4.06358,-0.97415
5.88276,7.03872,0.3477
5.30778,5.59062,-0.99528
7.15502,6.57066,0.91653
9.13885,7.31353,-0.67754
2.34004,6.85834,0.22447
9.40675,5.12488,0.9232
6.70944,8.28709,0.65292
9.98995,3.26578,0.63604
3.95643,1.89475,-0.41869
2.50296,6.0069,0.79251
7.36816,8.10639,0.2313
2.31233,0.5062,0.31747
9.10792,5.04535,0.99987
5.86375,5.87324,-0.73752
2.7059,7.96702,-0.94839
7.64246,1.45126,0.32505
5.6316,8.60258,0.9953
9.81337,1.76747,-0.83356
0.36359,9.2296,-0.16762
9.44996,5.22618,0.85824
9.40796,6.33357,-0.03356
7.14954,1.85957,0.4038
9.32092,6.10022,0.2829
7.72434,3.69229,-0.91266
8.03056,5.22916,0.63912
5.96692,6.35761,-0.23948
8.47675,1.99927,-0.86804
8.89357,9.73672,-0.21751
7.43886,5.97221,0.74777
1.35196,4.72552,-0.20427
5.64229,8.52292,0.99961
9.20494,7.7355,-0.94331
9.72577,5.18467,0.71562
3.27692,2.70227,-0.29934
5.7132,0.02446,-0.51886
8.53165,3.92368,-0.11081
4.37485,9.63716,0.99218
1.95808,8.02771,-0.53205
6.29256,1.22588,0.94423
3.67385,4.31436,0.991
8.97131,8.97961,-0.78248
0.2979,9.3185,-0.19045
5.28371,4.30702,-0.1652
2.11317,0.63415,0.38414
1.88371,9.39039,-0.96146
4.07222,2.22229,0.01132
5.26084,9.74357,0.64693
8.00687,0.31024,0.89466
5.08236,1.25557,0.05472
8.07644,3.68769,-0.71891
3.63461,8.68564,-0.24364
4.23316,5.04312,0.14795
8.55432,1.87892,-0.84601
8.07985,7.57943,0.04866
3.91643,4.45578,0.8687
9.56957,8.24147,-0.86165
9.80757,8.014,-0.85626
1.54479,3.11643,-0.99869
8.03041,3.31477,-0.93951
2.32323,9.76008,-0.46449
1.65935,8.63731,-0.76554
7.63123,9.22904,-0.9137
6.02989,9.66218,0.0159
9.90499,6.69939,-0.7811
4.93522,2.26108,0.79141
8.56293,4.31461,0.30618
6.36917,5.58055,-0.5783
0.14679,8.36167,0.79337
5.83678,4.53153,-0.80963
5.88494,6.97975,0.29392
6.84608,0.89078,0.99315
7.20616,8.07752,0.41167
3.56308,9.19961,0.19506
5.31826,3.4217,0.63253
6.97056,7.49893,0.94529
1.65295,4.30064,-0.32366
1.01616,0.99781,0.9034
1.68584,8.87296,-0.90612
7.60583,3.31879,-0.99748
1.71457,4.69287,0.12394
4.38647,9.38754,0.93478
8.04616,4.83659,0.31113
5.8972,5.16298,-0.99791
3.64977,7.55877,-0.97741
7.31191,8.88651,-0.47103
2.83175,7.438,-0.74795
8.99199,6.27695,0.42506
2.46841,1.78991,-0.89867
0.43924,0.17426,0.57574
8.5534,9.58138,-0.65545
1.30258,9.01456,-0.77856
5.09866,2.53076,0.97489
1.17464,0.97409,0.83759
4.63086,9.66047,0.98814
5.83988,2.20227,0.98235
3.08339,9.45605,-0.02693
3.28364,8.02325,-0.95193
8.46179,5.0483,0.80974
2.05733,8.5731,-0.93407
4.67829,3.8782,0.76322
9.20041,0.84598,-0.58235
3.56657,7.40559,-0.99973
6.01814,5.21186,-0.97265
3.90865,9.91045,0.94984
8.61736,2.63221,-0.96792
3.08483,1.96556,-0.94342
4.3985,1.52518,-0.35181
9.83891,9.58552,0.54373
7.50305,0.00605,0.94111
8.56523,4.84998,0.75052
2.67358,1.6514,-0.92589
0.27802,7.16965,0.91858
0.87024,5.56896,0.15538
9.75784,4.47188,0.99572
6.242,8.54414,0.79671
2.4731,9.86322,-0.22803
8.83656,8.02251,-0.91322
7.67008,1.25858,0.47602
7.63137,2.45037,-0.61072
6.54409,5.06272,-0.81894
5.29979,7.753,0.46746
4.17072,1.93345,-0.17805
3.64968,7.61979,-0.96272
1.36341,3.09325,-0.96748
1.49683,5.71083,0.7983
6.72773,8.59561,0.37521
6.88778,5.39281,-0.2819
8.70353,5.55976,0.99206
9.9482,5.60926,0.14993
5.67613,5.08087,-0.97168
4.44979,2.34277,0.48762
3.83259,0.27934,-0.82508
8.42019,8.38959,-0.89203
4.25174,8.70739,0.38274
1.67345,2.98609,-0.9986
6.47609,9.19947,0.03239
4.71852,6.1105,-0.98616
9.42221,4.20879,0.87461
9.034,0.7853,-0.38437
9.44361,0.4587,-0.45959
8.27659,7.8163,-0.37548
3.26015,1.31231,-0.99023
6.1316,1.95263,0.97361
9.86791,6.97526,-0.90662
6.50222,2.62236,0.29571
1.93809,4.15602,-0.18795
9.63004,7.33245,-0.9504
0.56886,8.23706,0.5801
4.46491,7.28626,-0.72786
7.71796,8.82248,-0.7396
0.56376,6.46156,0.67587
9.02917,9.69963,-0.12046
3.23851,1.2985,-0.98466
6.70859,8.1564,0.74662
9.2282,8.4039,-0.93822
4.0958,1.21906,-0.82394
8.13002,5.83926,0.98594
3.72471,6.98627,-0.95977
3.90955,1.66282,-0.65245
4.16756,8.9536,0.52677
1.82178,7.57344,0.02956
0.19813,0.31019,0.48671
9.95419,3.33216,0.65937
9.77933,9.65818,0.55466
8.97923,4.65079,0.87413
3.1141,5.60959,0.64505
2.49338,0.97549,-0.32147
3.87339,8.65594,-0.03703
6.06175,7.60278,0.89037
1.39649,9.90358,-0.954
1.62402,5.13423,0.45739
1.69959,8.82949,-0.89315
0.62734,2.15923,0.34761
0.10094,5.79541,-0.37726
3.54476,3.0645,0.32033
3.71477,7.56472,-0.95997
3.74585,6.54967,-0.7648
7.27103,6.78185,0.99645
5.7485,8.99604,0.82115
5.79631,7.48166,0.65305
9.91821,2.17965,-0.45156
8.43449,5.53269,0.98559
6.33089,7.22536,0.83596
2.72537,6.60967,0.08962
4.47391,2.78431,0.82772
4.00642,7.13341,-0.98961
7.32322,5.07091,-0.17139
1.33883,2.63303,-0.73811
0.87237,0.14437,0.8504
9.65893,5.12681,0.79694
9.07343,2.41185,-0.88247
3.25152,6.67252,-0.47878
2.14543,5.45864,0.96894
7.82822,8.47449,-0.5603
1.17154,6.72766,0.99898
7.11326,2.819,-0.48597
5.31645,0.63916,-0.32175
9.74921,9.12854,0.02818
2.66618,3.59342,-0.02359
0.20173,4.81272,-0.95472
7.75804,3.18958,-0.99885
0.13344,8.1516,0.90852
2.33085,9.82674,-0.39749
0.26554,8.79129,0.3597
2.62962,3.65145,-0.00212
8.82351,9.96308,-0.06292
1.61383,9.61973,-0.97181
8.74942,7.27109,-0.30748
9.97495,9.52453,0.60513
3.35379,6.6421,-0.54057
2.0441,5.59673,0.97737
7.23012,4.78805,-0.52115
1.10485,3.52663,-0.99673
5.92777,7.11597,0.45945
1.8654,1.00783,0.26515
0.08652,2.50617,0.52175
4.2785,6.08935,-0.80937
8.76526,9.20969,-0.76729
3.52318,5.74743,0.15356
4.29406,0.73536,-0.95016
0.98646,5.14264,-0.15348
0.3916,9.79903,-0.69315
5.65095,2.20463,1.0
3.59868,5.14412,0.63033
9.85139,0.13283,-0.53071
1.85541,7.36439,0.20355
6.32449,9.63707,-0.25088
5.19383,5.21041,-0.8302
4.90651,2.28254,0.78696
0.06097,0.57422,0.59333
2.16741,4.44565,0.32392
8.13621,7.14908,0.4102
4.20381,2.28943,0.20852
1.34005,7.33121,0.68421
0.29641,0.09721,0.38354
9.15462,9.87259,0.17672
6.20435,9.93387,-0.4171
1.46335,9.77914,-0.96967
5.34874,6.76359,-0.4386
9.88937,4.20898,0.99925
3.67727,9.38207,0.47324
6.0218,0.93172,0.62125
9.01884,2.56266,-0.8332
8.08764,0.31463,0.85342
6.84176,5.94345,0.21709
8.11775,6.98398,0.56978
8.83634,8.40059,-0.99913
3.19764,6.38122,-0.15347
4.15958,6.80358,-0.99947
2.75217,0.83667,-0.43248
7.23429,2.83766,-0.60293
4.03121,4.52616,0.76266
7.25872,4.87113,-0.42278
0.49697,5.11429,-0.62249
1.99714,2.44518,-0.96375
3.64411,2.06352,-0.5443
7.66562,5.84008,0.80716
6.76176,7.74179,0.93363
4.5672,6.41594,-0.99992
0.03807,6.5538,0.3038
5.89734,6.64414,-0.02489
6.36414,6.24625,0.04401
4.71699,1.22316,-0.33635
0.05189,6.16587,-0.06538
4.57906,6.76465,-0.94001
4.94645,5.86026,-0.98222
8.51649,4.51678,0.45012
3.74215,8.87531,0.05106
1.22892,5.14317,0.08879
3.91178,8.83676,0.18116
7.68093,7.38963,0.59511
8.00835,2.39155,-0.82777
1.85557,2.29973,-0.8488
4.86429,4.62505,-0.06452
0.53079,3.18496,-0.54313
8.70174,4.09986,0.23306
6.1401,8.38322,0.92637
5.79501,9.87564,0.03731
8.66753,6.02535,0.84953
6.368,6.7094,0.48908
5.71707,0.85813,0.28788
3.1248,8.19534,-0.94779
7.07117,3.44299,-0.88634
0.06141,4.55431,-0.99533
8.81283,3.49795,-0.25282
5.41545,8.46836,0.96808
2.799,0.37981,-0.03721
6.32333,9.57772,-0.19189
0.55189,9.24541,-0.36397
3.81159,5.25098,0.35434
9.30601,6.95769,-0.52757
5.69168,8.72485,0.96123
0.15103,6.66762,0.51024
3.57944,3.00379,0.29557
1.55413,9.47699,-0.99937
1.10395,6.3504,0.92121
7.26768,6.51472,0.93773
8.26085,6.71474,0.66864
4.71646,8.07159,0.21986
5.01751,8.40391,0.7546
3.43256,7.98799,-0.91105
6.41061,7.82681,0.99498
6.71439,2.33443,0.36716
9.32218,7.26008,-0.76709
6.51427,9.28613,-0.09231
6.26873,9.45598,-0.01675
2.04784,7.50422,-0.12694
9.25793,7.98145,-0.99922
1.87872,6.15831,0.98329
5.24152,3.77479,0.3972
8.23763,5.31359,0.83319
4.57229,6.4028,-0.99979
2.85312,3.54452,0.1142
4.7366,7.44576,-0.37464
0.61768,5.8615,0.19474
1.42949,3.861,-0.8375
2.14457,9.94459,-0.4593
9.223,8.81271,-0.72693
5.74429,2.74153,0.80694
4.55964,6.35922,-0.99706
4.83535,7.47378,-0.25441
2.12745,6.17678,0.90034
5.57577,4.45365,-0.56846
5.88083,7.27633,0.55702
3.58456,9.15387,0.17121
7.01741,8.46178,0.22678
3.43118,0.01032,-0.29544
8.00184,9.02505,-0.96845
3.15985,3.56267,0.42533
3.61933,4.96102,0.74759
4.62819,9.937,0.90979
9.95286,3.95433,0.97367
1.79371,8.44613,-0.72777
3.98335,5.223,0.21669
2.59294,3.05882,-0.5903
5.09998,2.20493,0.85301
6.2887,3.59615,-0.44402
2.49779,1.35726,-0.65445
2.04427,6.23404,0.91131
7.57227,7.69465,0.42688
0.86292,3.26317,-0.833
7.40441,9.55512,-0.94948
7.70029,0.07338,0.99678
0.99822,3.65195,-0.99806
2.55189,0.91906,-0.32343
0.41796,0.99124,0.98697
7.17461,7.14436,0.98352
8.62756,9.46772,-0.68476
1.80646,7.88195,-0.26059
2.56884,0.11623,0.44083
7.17441,6.29051,0.78242
1.89662,3.49282,-0.77942
3.75444,1.54202,-0.83423
4.54713,7.82293,-0.19505
4.09644,6.00108,-0.62313
7.35285,8.38336,-0.02824
4.12272,7.78752,-0.61006
9.74375,0.19999,-0.49598
5.9723,8.72883,0.84514
7.82344,5.92053,0.92369
4.17959,4.47191,0.69848
9.98639,0.84357,-0.98632
6.96627,8.88281,-0.14065
1.52069,2.89915,-0.95751
2.48197,0.01268,0.60275
9.59079,9.2181,-0.04066
7.71254,4.32083,-0.50812
9.86488,4.11754,0.98805
6.05628,2.52276,0.74845
1.80385,2.50942,-0.9214
6.93431,3.53424,-0.86431
2.95535,0.82331,-0.59484
6.06739,4.11356,-0.68614
4.10556,9.36408,0.78535
0.80464,7.72318,0.78144
6.92323,5.08693,-0.52798
3.10723,6.94038,-0.58334
8.3431,3.97212,-0.24852
6.46186,6.18778,0.08317
6.8556,0.70484,0.95722
7.49613,1.46221,0.44971
6.11597,1.28994,0.90128
9.91138,7.57293,-0.97895
6.63297,2.727,0.06477
1.37455,6.83101,0.93883
0.23743,2.90239,0.00176
2.72878,2.54586,-0.84606
